panel,gene_names,protein_ids,protein_names
erythrocyte,HBA1,P69905,Hemoglobin subunit alpha
erythrocyte,HBB,P68871,Hemoglobin subunit beta;LVV-hemorphin-7;Spinorphin
erythrocyte,CA1,P00915;E5RHP7;E5RH81;E5RFE7;H0YBE2;E5RIF9;E5RG43;E5RFL2,Carbonic anhydrase 1
erythrocyte,HBD,P02042;E9PFT6,Hemoglobin subunit delta
erythrocyte,PRDX2,P32119;A6NIW5;P32119-2,Peroxiredoxin-2
erythrocyte,CA2,P00918;E5RID5;E5RK37,Carbonic anhydrase 2
erythrocyte,CAT,P04040,Catalase
erythrocyte,SLC4A1,P02730;A0A0A0MS98,Band 3 anion transport protein
erythrocyte,BLVRB,P30043;M0R192;M0QZL1,Flavin reductase (NADPH)
erythrocyte,SPTA1,P02549;A0A087WZE4;P02549-2,"Spectrin alpha chain, erythrocytic 1"
erythrocyte,SPTB,P11277;P11277-2;P11277-3;H0YJE6;Q01082;Q01082-3;A0A087WUZ3;Q01082-2;F8W6C1;A4QPE4;E9PJZ2,"Spectrin beta chain, erythrocytic"
erythrocyte,ANK1,P16157-3;P16157-16;P16157-12;P16157-14;P16157-7;P16157-13;P16157-15;H0YBS0;P16157-17;P16157-20;P16157-18,Ankyrin-1
erythrocyte,GAPDH,P04406;P04406-2;E7EUT5;O14556,Glyceraldehyde-3-phosphate dehydrogenase
erythrocyte,SOD1,P00441;H7BYH4,Superoxide dismutase [Cu-Zn]
erythrocyte,PRDX6,P30041,Peroxiredoxin-6
erythrocyte,BPGM,P07738;C9JH23,Bisphosphoglycerate mutase
erythrocyte,ACTB;ACTG1,P60709;P63261;I3L3I0;I3L1U9;I3L4N8;G5E9R0;I3L3R2;E7EVS6;J3KT65;P63267-2;K7EM38;Q6S8J3;Q562R1;C9JUM1;C9JZR7;A5A3E0;P0CG38;C9JTX5;P0CG39;Q9BYX7;F8WCH0,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally proc"
erythrocyte,SELENBP1,Q13228;Q13228-4;Q13228-2;Q13228-3;A6PVX1;H0Y532;F2Z2W8;F8WCR4;C9JVL0;F8WBA9,Selenium-binding protein 1
erythrocyte,EPB41,P11171-2;P11171;Q4VB86;P11171-3;P11171-5;P11171-7;P11171-6;Q9Y2J2;Q9Y2J2-2;A0A0A0MRA8;Q9H4G0;Q9H4G0-2;Q9H4G0-4;J3KT37;Q4VXN1;Q4VXN0;B2RB02;A0A0D9SG07;A0A0C4DH22;Q9Y2J2-3;Q9H4G0-3;Q9Y2J2-4,Protein 4.1
erythrocyte,LDHB,P07195;A8MW50;C9J7H8;F5H793,L-lactate dehydrogenase B chain;L-lactate dehydrogenase
erythrocyte,EIF5A;EIF5A2;EIF5AL1,P63241;I3L397;I3L504;P63241-2;Q9GZV4;Q6IS14;F8WCJ1;C9J7B5;C9J4W5,Eukaryotic translation initiation factor 5A-1;Eukaryotic tra
erythrocyte,PNP,P00491;G3V5M2;G3V2H3;G3V393,Purine nucleoside phosphorylase
erythrocyte,ALDOA,P04075;P04075-2;H3BQN4;J3KPS3;H3BPS8;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68,Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldol
erythrocyte,TPI1,P60174;P60174-1;P60174-4;U3KPZ0;U3KQF3;U3KPS5,Triosephosphate isomerase
erythrocyte,NIF3L1,Q9GZT8;Q9GZT8-2;Q9GZT8-3;E7EXA3;Q6X734;B8ZZI0;C9JN42;H7C1A8,NIF3-like protein 1
erythrocyte,UBC;UBB;RPS27A;UBA52;UBBP4,P0CG48;P0CG47;P62979;P62987;J3QS39;J3QTR3;F5H6Q2;F5GYU3;F5H2Z3;F5H265;B4DV12;F5H388;F5H747;F5GXK7;J3QKN0;Q5PY61;Q96C32;M0R1V7;J3QSA3;F5GZ39;J3QLP7;J3QRK5;M0R1M6;K7EMA8;J3KSM4,Polyubiquitin-C;Ubiquitin;Polyubiquitin-B;Ubiquitin;Ubiquiti
erythrocyte,HBE1,P02100,Hemoglobin subunit epsilon
erythrocyte,HSPA8,P11142;E9PKE3;E9PNE6;P11142-2;E9PN89;E9PLF4;E9PQQ4;E9PQK7;E9PK54;E9PPY6;E9PN25;E9PI65,Heat shock cognate 71 kDa protein
erythrocyte,PGK1,P00558;P00558-2;P07205,Phosphoglycerate kinase 1
erythrocyte,ALAD,P13716;B7ZBK6,Delta-aminolevulinic acid dehydratase
platelet,FLNA,P21333-2;P21333;Q5HY54;Q60FE5;A0A087WWY3;H7C2E7,Filamin-A
platelet,TLN1,Q9Y490,Talin-1
platelet,MYH9,P35579;Q5BKV1;B1AH99;A0A0C4DFM8;A1L2Z2;P12883;P12882;Q9UKX2;Q9Y623;P13535;REV__S4R3H4;REV__E7EQT4;REV__Q9UKV3-5;REV__Q9UKV3,Myosin-9
platelet,ACTB,P60709;E7EVS6;G5E9R0,"Actin, cytoplasmic 1;Actin, cytoplasmic 1, N-terminally proc"
platelet,VCL,P18206;P18206-2;P18206-3;A0A096LPE1,Vinculin
platelet,ACTN1,P12814-3;P12814-2;P12814-4,Alpha-actinin-1
platelet,TPM4,P67936;K7EPB9;K7EMU5;K7EPV9;U3KQK2;Q2TAC2;Q2TAC2-2,Tropomyosin alpha-4 chain
platelet,THBS1,P07996;P07996-2;A8MZG1;P35442,Thrombospondin-1
platelet,TUBB1,Q9H4B7,Tubulin beta-1 chain
platelet,YWHAZ,P63104;E7EX29;B0AZS6;P63104-2;H0YB80;E7ESK7;E5RIR4;E9PD24;E7EVZ2;E5RGE1,14-3-3 protein zeta/delta
platelet,GSN,P06396-2;Q5T0I0,Gelsolin
platelet,TUBA1B,P68363;P68363-2;C9JDS9,Tubulin alpha-1B chain
platelet,ITGA2B,P08514;P08514-2;P08514-3;K7EP83;K7EKA6,Integrin alpha-IIb;Integrin alpha-IIb heavy chain;Integrin a
