protein_group,protein_ids,protein_names,genes,plasma_neat,plasma_pca_n,plasma_sax,plasma_sera_sil_700,plasma_non_magnetic
A0A075B6H7,P01624;A0A075B6H7;A0A0C4DH55,KV37_HUMAN,IGKV3-7,6758800.0,2497520.0,2674600.0,6769140.0,3122640.0
A0A075B6H9,A0A075B6H9,LV469_HUMAN,IGLV4-69,4101.98,,,15332.9,
A0A075B6I0,A0A075B6I0,LV861_HUMAN,IGLV8-61,921093.0,402728.0,355910.0,985204.0,316705.0
A0A075B6I1,A0A075B6I1,LV460_HUMAN,IGLV4-60,3588.18,,,48048.35000000001,
A0A075B6I9,A0A075B6I9,LV746_HUMAN,IGLV7-46,145195.0,41019.75,40052.3,160080.0,57585.1
A0A075B6J2,A0A075B6J2,LV233_HUMAN,IGLV2-33,31703.05,23441.2,28761.4,239665.0,20793.1
A0A075B6J9,A0A075B6J9,LV218_HUMAN,IGLV2-18,102423.0,110171.0,37677.1,129436.0,52816.4
A0A075B6K0,A0A075B6K0,LV316_HUMAN,IGLV3-16,18040.9,19869.0,9019.8,33498.1,5542.445000000001
A0A075B6K2,A0A075B6K2,LV312_HUMAN,IGLV3-12,12286.8,7157.88,5685.08,,2282.365
A0A075B6K4,A0A075B6K0;A0A075B6K4,LV310_HUMAN,IGLV3-10,275237.0,105123.0,44298.0,312387.0,124633.0
A0A075B6K5,A0A075B6K5,LV39_HUMAN,IGLV3-9,577823.0,307164.0,206602.0,411860.0,377758.0
A0A075B6N2,A0A075B6N2,TVBT1_HUMAN,TRBV20-1,,,,,
A0A075B6P5;P01615,P01615;A0A075B6P5,KV228_HUMAN;KVD28_HUMAN,IGKV2-28;IGKV2D-28,254914.0,140058.0,59641.3,99744.7,156379.0
A0A075B6Q5,A0A075B6Q5,HV364_HUMAN,IGHV3-64,63521.9,42596.65,30036.2,45898.4,23537.45
A0A075B6R9;A0A0C4DH68,A0A075B6R9;A0A0C4DH68,KV224_HUMAN;KVD24_HUMAN,IGKV2-24;IGKV2D-24,97337.8,98910.8,109719.0,284997.0,92902.6
A0A075B6S2,A0A075B6S2;A2NJV5,KVD29_HUMAN,IGKV2D-29,680281.0,309771.0,537018.0,1581620.0,584007.0
A0A075B6S5,A0A075B6S5,KV127_HUMAN,IGKV1-27,11464.295,2972.05,,29536.8,9675.625
A0A075B6S6,A0A075B6S6,KVD30_HUMAN,IGKV2D-30,12915.05,,21760.1,22702.0,13250.95
A0A075B6T6,A0A075B6T6,TVAL2_HUMAN,TRAV12-2,,,,,
A0A075B6T7,A0A075B6T7,TVA6_HUMAN,TRAV6,,,,,
A0A087WSX0,A0A087WSX0,LV545_HUMAN,IGLV5-45,78576.4,47918.0,187588.0,95034.1,66174.5
A0A087WSY6,A0A087WSY6,KVD15_HUMAN,IGKV3D-15,396446.0,170829.0,160636.5,378241.0,252369.0
A0A087WSZ0,A0A087WSZ0,KVD08_HUMAN,IGKV1D-8,66854.2,47908.1,26908.6,37604.3,10728.0
A0A087WW87;P01614,P01614;A0A087WW87,KV240_HUMAN;KVD40_HUMAN,IGKV2-40;IGKV2D-40,73942.5,23886.0,54010.3,22411.5,20713.15
A0A0A0MRZ9,A0A0A0MRZ9,LV552_HUMAN,IGLV5-52,4193.83,,2859.29,6127.98,12070.9
A0A0A0MS14,A0A0A0MS14,HV145_HUMAN,IGHV1-45,12937.2,18769.15,19538.5,24589.1,6137.594999999999
A0A0A0MS15,A0A0A0MS15;A0A0B4J1V6,HV349_HUMAN,IGHV3-49,241458.0,80478.9,76140.4,209224.0,64236.2
A0A0A0MT89,A0A0A0MT89,KJ01_HUMAN,IGKJ1,185798.0,107260.5,74429.1,186556.0,88393.3
A0A0A6YYC5,A0A0A6YYC5,TVA14_HUMAN,TRAV14DV4,,,,,
A0A0A6YYJ7,A0A0A6YYJ7,TVA83_HUMAN,TRAV8-3,,,,,
A0A0A6YYK7,A0A0A6YYK7,TVA19_HUMAN,TRAV19,,,,,
A0A0B4J1U3,A0A0B4J1U3,LV136_HUMAN,IGLV1-36,13447.1,,,,
A0A0B4J1U7,A0A0B4J1U7,HV601_HUMAN,IGHV6-1,272290.0,130956.0,189441.0,520372.0,305028.0
A0A0B4J1V0,A0A0B4J1V0,HV315_HUMAN,IGHV3-15,227125.0,135179.0,74636.3,231213.0,68690.3
