workflow,rank,protein_group,genes,protein_names,intensity
Neat,1,P02768,ALB,ALBU_HUMAN,243472000.0
Neat,2,P02647,APOA1,APOA1_HUMAN,90264700.0
Neat,3,P01857-1,IGHG1,IGHG1_HUMAN,59571400.0
Neat,4,P02787,TF,TRFE_HUMAN,42280600.0
Neat,5,P01859,IGHG2,IGHG2_HUMAN,35110300.0
Neat,6,P00738,HP,HPT_HUMAN,26645400.0
Neat,7,P02679,FGG,FIBG_HUMAN,18339900.0
Neat,8,P01834,IGKC,IGKC_HUMAN,17602400.0
Neat,9,P01023,A2M,A2MG_HUMAN,16883200.0
Neat,10,P01024,C3,CO3_HUMAN,15328100.0
Neat,11,P01876-1,IGHA1,IGHA1_HUMAN,15066400.0
Neat,12,P02675,FGB,FIBB_HUMAN,14080700.0
Neat,13,P01871-1,IGHM,IGHM_HUMAN,13098300.0
Neat,14,P02671,FGA,FIBA_HUMAN,13075700.0
Neat,15,P68871,HBB,HBB_HUMAN,12001000.0
Neat,16,P10412,H1-4,H14_HUMAN,10740394.725
Neat,17,B9A064,IGLL5,IGLL5_HUMAN,10459500.0
Neat,18,P02790,HPX,HEMO_HUMAN,9963910.0
Neat,19,P01860,IGHG3,IGHG3_HUMAN,9833290.0
Neat,20,P02763,ORM1,A1AG1_HUMAN,8537290.0
Neat,21,A0A075B6H7,IGKV3-7,KV37_HUMAN,6758800.0
Neat,22,P00450,CP,CERU_HUMAN,6561950.0
Neat,23,P00747,PLG,PLMN_HUMAN,6025820.0
Neat,24,P06727,APOA4,APOA4_HUMAN,5968070.0
Neat,25,P02749,APOH,APOH_HUMAN,5803240.0
Neat,26,P01619,IGKV3-20,KV320_HUMAN,5134890.0
Neat,27,P02765,AHSG,FETUA_HUMAN,5094500.0
Neat,28,P02656,APOC3,APOC3_HUMAN,5030850.0
Neat,29,P01780,IGHV3-7,HV307_HUMAN,4846210.0
Neat,30,P05155;P05155-3,SERPING1,IC1_HUMAN,4751630.0
PCA-N,1,P02763,ORM1,A1AG1_HUMAN,1741640000.0
PCA-N,2,P02766,TTR,TTHY_HUMAN,806583000.0
PCA-N,3,P05090,APOD,APOD_HUMAN,228217000.0
PCA-N,4,P02656,APOC3,APOC3_HUMAN,213857000.0
PCA-N,5,P02790,HPX,HEMO_HUMAN,210601000.0
PCA-N,6,P02749,APOH,APOH_HUMAN,162733000.0
PCA-N,7,P19652,ORM2,A1AG2_HUMAN,133352000.0
PCA-N,8,P02768,ALB,ALBU_HUMAN,91884100.0
PCA-N,9,P02647,APOA1,APOA1_HUMAN,55629400.0
PCA-N,10,P02652,APOA2,APOA2_HUMAN,43717700.0
PCA-N,11,P02654,APOC1,APOC1_HUMAN,43250700.0
PCA-N,12,P08185,SERPINA6,CBG_HUMAN,39638200.0
PCA-N,13,P23276,KEL,KELL_HUMAN,36659400.0
PCA-N,14,P14151;P14151-2,SELL,LYAM1_HUMAN,34227800.0
PCA-N,15,P16070;P16070-3;P16070-4;P16070-5;P16070-7;P16070-8,CD44,CD44_HUMAN,30212000.0
PCA-N,16,P05155;P05155-3,SERPING1,IC1_HUMAN,29051200.0
PCA-N,17,P01857-1,IGHG1,IGHG1_HUMAN,28676800.0
PCA-N,18,P10909;P10909-2;P10909-4;P10909-5;P10909-6,CLU,CLUS_HUMAN,27726900.0
PCA-N,19,P02760,AMBP,AMBP_HUMAN,25078500.0
PCA-N,20,P01009,SERPINA1,A1AT_HUMAN,23807600.0
PCA-N,21,P01008,SERPINC1,ANT3_HUMAN,23740600.0
PCA-N,22,P55039,DRG2,DRG2_HUMAN,23339000.0
PCA-N,23,P49908,SELENOP,SEPP1_HUMAN,21850000.0
PCA-N,24,P38646,HSPA9,GRP75_HUMAN,21434200.0
PCA-N,25,P62328,TMSB4X,TYB4_HUMAN,20486000.0
PCA-N,26,P19525,EIF2AK2,E2AK2_HUMAN,19143500.0
PCA-N,27,P01042,KNG1,KNG1_HUMAN,17340400.0
PCA-N,28,P02671,FGA,FIBA_HUMAN,16255900.0
PCA-N,29,P02655,APOC2,APOC2_HUMAN,15674100.0
PCA-N,30,P00738,HP,HPT_HUMAN,14304900.0
SAX,1,P19823,ITIH2,ITIH2_HUMAN,594416000.0
SAX,2,P00734,F2,THRB_HUMAN,413888000.0
SAX,3,P0C0L5,C4B,CO4B_HUMAN,377831000.0
SAX,4,P06727,APOA4,APOA4_HUMAN,251651000.0
SAX,5,P19827,ITIH1,ITIH1_HUMAN,199418000.0
SAX,6,P04004,VTN,VTNC_HUMAN,127688000.0
